optimizer,lr,dropout,weight_decay,normalization,batch_size,epochs,final_train_loss,final_test_loss,final_test_accuracy,best_test_accuracy,best_epoch_num,epoch_train_losses,epoch_test_losses,epoch_test_accuracies
SGD,0.01,0.3,0.0,None,64,10,0.32195049996918707,0.28778368225097656,0.8919,0.8941,8,"[0.9200055158214528, 0.5361325648039389, 0.4675540037786783, 0.42799647951494657, 0.40262852590094245, 0.38187440475230533, 0.3611680933756869, 0.34885433241566105, 0.33202954694660486, 0.32195049996918707]","[0.48797431030273436, 0.4137236114501953, 0.3845602386474609, 0.3599476318359375, 0.3393037902832031, 0.32436763000488283, 0.3128679351806641, 0.30515717468261716, 0.2913014404296875, 0.28778368225097656]","[0.8172, 0.8465, 0.8533, 0.8652, 0.8713, 0.8785, 0.885, 0.887, 0.8941, 0.8919]"
SGD,0.01,0.3,0.0,None,128,10,0.4019203274044147,0.3416161285400391,0.8734,0.8734,9,"[1.1440734808633068, 0.6951520283466209, 0.5881465471375471, 0.5296400822937362, 0.4907948840528663, 0.46758543854074947, 0.44376873271043366, 0.4272396783394092, 0.41297559252679983, 0.4019203274044147]","[0.662368310546875, 0.5385600891113281, 0.4757930389404297, 0.4271477142333984, 0.4042233612060547, 0.3892097412109375, 0.37901207275390625, 0.3608985290527344, 0.3502772918701172, 0.3416161285400391]","[0.7497, 0.7907, 0.8271, 0.8451, 0.8494, 0.8549, 0.8596, 0.8642, 0.8703, 0.8734]"
SGD,0.01,0.3,0.0,None,256,10,0.4458557631107087,0.3872877197265625,0.8546,0.8554,8,"[1.5732028786172259, 0.7964215699662553, 0.6604439518553146, 0.5926648427831366, 0.5471973430603109, 0.5205158070046851, 0.49277057000931274, 0.47312733061770174, 0.4595652887161742, 0.4458557631107087]","[0.7362036193847656, 0.5870958801269531, 0.5280142578125, 0.48029181518554687, 0.4487527618408203, 0.4346210479736328, 0.4159320892333984, 0.39909533386230467, 0.3920754516601562, 0.3872877197265625]","[0.7215, 0.7775, 0.8055, 0.8221, 0.8355, 0.8429, 0.8467, 0.8541, 0.8554, 0.8546]"
SGD,0.01,0.3,0.0,batchnorm,64,10,0.2766613691949895,0.23752510833740234,0.915,0.915,9,"[0.6866474524934663, 0.4607101131889866, 0.3990336841166909, 0.365423428216405, 0.3405425548553467, 0.32174940276215835, 0.30502736350811366, 0.2932125289779482, 0.2865338289915626, 0.2766613691949895]","[0.4121336242675781, 0.3516606201171875, 0.3319708038330078, 0.30043734130859373, 0.2864839080810547, 0.2673208801269531, 0.26045098266601563, 0.2617424560546875, 0.24728271789550782, 0.23752510833740234]","[0.844, 0.8699, 0.875, 0.8857, 0.8936, 0.9037, 0.9036, 0.9064, 0.9088, 0.915]"
SGD,0.01,0.3,0.0,batchnorm,128,10,0.3018590831743883,0.2597926528930664,0.9048,0.9066,8,"[0.7585793080360397, 0.49642415252575744, 0.430200939017064, 0.39711956943530263, 0.3723658203506775, 0.3517119071758124, 0.3344558679790639, 0.3242593363467564, 0.31190375840740164, 0.3018590831743883]","[0.4386468841552734, 0.37030259704589846, 0.33043464660644534, 0.31143860778808596, 0.2981136016845703, 0.2838946563720703, 0.2847818328857422, 0.2683809463500977, 0.25914737701416013, 0.2597926528930664]","[0.8343, 0.8589, 0.8796, 0.8838, 0.8887, 0.8961, 0.8959, 0.9005, 0.9066, 0.9048]"
SGD,0.01,0.3,0.0,batchnorm,256,10,0.3358625866631244,0.27440274353027344,0.9006,0.9006,9,"[0.8996054722907695, 0.563978082068423, 0.48977131120702055, 0.44815456524808356, 0.4160402842024539, 0.39565199892571634, 0.3772371819678773, 0.3605023357462376, 0.3483922478366405, 0.3358625866631244]","[0.48267633056640624, 0.4129232849121094, 0.37459115600585935, 0.3485062316894531, 0.3235028259277344, 0.31286307067871094, 0.3000626251220703, 0.2961104476928711, 0.2825636199951172, 0.27440274353027344]","[0.8082, 0.8458, 0.8606, 0.8729, 0.8796, 0.8872, 0.8906, 0.8891, 0.8945, 0.9006]"
SGD,0.01,0.3,0.0,layernorm,64,10,0.3026643927528787,0.2549226272583008,0.9079,0.9079,9,"[0.7661408584064512, 0.49720391774101297, 0.4425033736171753, 0.40041716295137586, 0.37708700866079026, 0.35450823231737244, 0.3386885104244198, 0.32402734756310864, 0.31227657029718986, 0.3026643927528787]","[0.43074189453125, 0.3838082672119141, 0.3393493896484375, 0.32081543273925783, 0.32935539245605466, 0.2890104064941406, 0.2793143753051758, 0.274367643737793, 0.2624784423828125, 0.2549226272583008]","[0.841, 0.8553, 0.8757, 0.8805, 0.8753, 0.8912, 0.8966, 0.8988, 0.903, 0.9079]"
SGD,0.01,0.3,0.0,layernorm,128,10,0.3224158161865877,0.28060529022216796,0.8982,0.8982,9,"[0.8767548360422984, 0.5474127956163655, 0.4754558869008062, 0.43404644791251307, 0.4031353780646314, 0.3790741905983069, 0.3617539513212786, 0.3451007169002155, 0.33383961079090135, 0.3224158161865877]","[0.4938486022949219, 0.4094216339111328, 0.3729136047363281, 0.3531624053955078, 0.32992359924316406, 0.3157863189697266, 0.296085595703125, 0.28812633972167967, 0.2772964935302734, 0.28060529022216796]","[0.8114, 0.8486, 0.8622, 0.8672, 0.876, 0.8829, 0.8901, 0.8943, 0.8977, 0.8982]"
SGD,0.01,0.3,0.0,layernorm,256,10,0.364606947721319,0.30748886413574217,0.8848,0.8848,9,"[1.0501395070806463, 0.6238259649023097, 0.5341301564206469, 0.4849189760837149, 0.44822615702101526, 0.42603922486305235, 0.4062586889622059, 0.394514455567015, 0.37672797048345524, 0.364606947721319]","[0.5427791961669922, 0.468324365234375, 0.4207051025390625, 0.3862463165283203, 0.35851156311035154, 0.34394463500976563, 0.3422525085449219, 0.31926881408691404, 0.3158094757080078, 0.30748886413574217]","[0.7952, 0.8211, 0.8417, 0.8518, 0.8674, 0.874, 0.8722, 0.8789, 0.8839, 0.8848]"
SGD,0.01,0.3,0.0001,None,64,10,0.33298496885308576,0.28080262298583986,0.8957,0.8957,9,"[0.899220022025393, 0.5497858202470137, 0.4851679696933801, 0.4417166322755661, 0.4120968719408202, 0.39037994954631783, 0.37263433053803596, 0.35746353716929075, 0.3402038373704404, 0.33298496885308576]","[0.5165654632568359, 0.42793275756835936, 0.39755472412109377, 0.35590282592773437, 0.33852223205566406, 0.3231048553466797, 0.31429007263183595, 0.30805057067871094, 0.29057031555175783, 0.28080262298583986]","[0.8028, 0.8475, 0.8524, 0.8673, 0.8717, 0.8785, 0.8834, 0.8846, 0.8939, 0.8957]"
