optimizer,lr,dropout,weight_decay,normalization,batch_size,epochs,final_train_loss,final_test_loss,final_test_accuracy,best_test_accuracy,best_epoch_num,epoch_train_losses,epoch_test_losses,epoch_test_accuracies
SGD,0.01,0.3,0.0,None,64,10,0.47411166017116513,0.3687234893798828,0.86,0.8619,8,"[1.093164569724089, 0.730763566551178, 0.6438506913464715, 0.5896829834053003, 0.5601999657367592, 0.5336253516264816, 0.5126357764831738, 0.49602687722647876, 0.4837704496597176, 0.47411166017116513]","[0.597628466796875, 0.5191088226318359, 0.4735941284179688, 0.4446504150390625, 0.42430708618164065, 0.4056961669921875, 0.40674791564941404, 0.3819387939453125, 0.37115155334472655, 0.3687234893798828]","[0.7725, 0.7986, 0.8233, 0.8273, 0.8408, 0.8491, 0.8453, 0.8605, 0.8619, 0.86]"
SGD,0.01,0.3,0.0,None,128,10,0.5491191362902554,0.41566819458007814,0.8515,0.8515,9,"[1.3460825469448114, 0.8531974360886921, 0.73879872697757, 0.6769632015274023, 0.6427288254313885, 0.6186746617497157, 0.588719029479952, 0.5731321421386336, 0.5593795897736986, 0.5491191362902554]","[0.6927063903808593, 0.5874831176757812, 0.5348358154296875, 0.5033933929443359, 0.48496527709960935, 0.4651723175048828, 0.4449981018066406, 0.4337655639648437, 0.43201932067871096, 0.41566819458007814]","[0.7554, 0.7804, 0.8015, 0.8113, 0.8221, 0.8255, 0.8375, 0.8397, 0.8433, 0.8515]"
SGD,0.01,0.3,0.0,None,256,10,0.6344257082076783,0.49010025634765625,0.8185,0.8185,9,"[1.5718441958123066, 1.0484894346683584, 0.8878151000814235, 0.8027812884209004, 0.7537823256025923, 0.7188885950027628, 0.6918038936371499, 0.6708996496302017, 0.6496343222070248, 0.6344257082076783]","[0.878814501953125, 0.6985514099121094, 0.6288411682128906, 0.5906477600097656, 0.5655268737792969, 0.5499704925537109, 0.5290289703369141, 0.5178739654541016, 0.5071254333496094, 0.49010025634765625]","[0.7074, 0.7406, 0.7615, 0.7764, 0.7867, 0.7917, 0.8028, 0.8035, 0.8109, 0.8185]"
SGD,0.01,0.3,0.0,batchnorm,64,10,0.4542886013351778,0.3502547119140625,0.8707,0.8707,9,"[0.9837582385234995, 0.6730776773586965, 0.6012707067006178, 0.562981561048707, 0.5317512819730142, 0.5111130638671583, 0.49171954248823335, 0.4774712787063391, 0.4666656626185883, 0.4542886013351778]","[0.5390615997314453, 0.47882485656738283, 0.4383839080810547, 0.40931785583496094, 0.40028206787109377, 0.38725386352539065, 0.37184213256835935, 0.3674914031982422, 0.3555197509765625, 0.3502547119140625]","[0.7958, 0.8204, 0.8401, 0.8486, 0.8523, 0.8576, 0.8637, 0.8652, 0.8698, 0.8707]"
SGD,0.01,0.3,0.0,batchnorm,128,10,0.49357964965834544,0.37054005737304685,0.8655,0.8655,9,"[1.1571586025294973, 0.7660652907418289, 0.6794610690714707, 0.6270627881418159, 0.5861194729804993, 0.5555686383232125, 0.5363611131588787, 0.5209551041822698, 0.5040448443976038, 0.49357964965834544]","[0.5888346374511719, 0.517576058959961, 0.4821424774169922, 0.4481076599121094, 0.4300555969238281, 0.4060607513427734, 0.3983999145507813, 0.38472026062011716, 0.37652425231933595, 0.37054005737304685]","[0.7759, 0.8055, 0.8096, 0.8362, 0.8458, 0.8499, 0.8542, 0.858, 0.8584, 0.8655]"
SGD,0.01,0.3,0.0,batchnorm,256,10,0.568042620572638,0.405512841796875,0.8552,0.8552,9,"[1.31435275458275, 0.8881391066185972, 0.7770958819287889, 0.7175088332054463, 0.679739741315233, 0.6435387932239695, 0.6197825553569388, 0.5962898646263366, 0.5815532691935276, 0.568042620572638]","[0.6730253845214844, 0.5725345642089844, 0.5274897613525391, 0.49699115295410157, 0.47061839599609373, 0.4481764343261719, 0.4359426788330078, 0.4206122100830078, 0.4148603790283203, 0.405512841796875]","[0.7701, 0.7943, 0.8083, 0.8192, 0.8305, 0.8322, 0.8427, 0.8476, 0.8485, 0.8552]"
SGD,0.01,0.3,0.0,layernorm,64,10,0.464566481043535,0.3602529327392578,0.868,0.868,9,"[1.0140220408818361, 0.6831677705684959, 0.6127279762075399, 0.5686155387651183, 0.5380096147690755, 0.5139546447248855, 0.49883307160726237, 0.48570053056994483, 0.47203577878569236, 0.464566481043535]","[0.5614826843261719, 0.49104310607910157, 0.4432473602294922, 0.4208037261962891, 0.4027614410400391, 0.39806888732910156, 0.37947196655273435, 0.3688419860839844, 0.3649841796875, 0.3602529327392578]","[0.7894, 0.8032, 0.8346, 0.8368, 0.8507, 0.8508, 0.8649, 0.8633, 0.8675, 0.868]"
SGD,0.01,0.3,0.0,layernorm,128,10,0.4961163152509661,0.3698700134277344,0.8633,0.8633,9,"[1.2098516468554417, 0.7800206038743448, 0.6925461428251856, 0.6405132192411402, 0.6002936812479105, 0.5672343253199734, 0.5453246568184672, 0.5232105323754902, 0.5103338056408775, 0.4961163152509661]","[0.611548388671875, 0.5269776550292968, 0.5003611389160156, 0.45116038513183593, 0.4404336456298828, 0.4214944091796875, 0.39680447692871096, 0.39145152282714846, 0.3821389709472656, 0.3698700134277344]","[0.773, 0.7976, 0.8136, 0.8342, 0.8357, 0.8378, 0.8526, 0.8556, 0.8566, 0.8633]"
SGD,0.01,0.3,0.0,layernorm,256,10,0.5543906237216706,0.4122238250732422,0.8474,0.8474,9,"[1.3965269284045443, 0.8809521459518594, 0.7630368415345536, 0.7065281611807803, 0.6578224229051711, 0.6278129898487254, 0.6090691350876016, 0.5841598059268708, 0.5721374121118099, 0.5543906237216706]","[0.6885425170898437, 0.5653576232910156, 0.5219288299560547, 0.4929981842041016, 0.47934339599609377, 0.4571172515869141, 0.44912343139648436, 0.430812255859375, 0.42228124389648436, 0.4122238250732422]","[0.7741, 0.7995, 0.8096, 0.8209, 0.8258, 0.8314, 0.8402, 0.8418, 0.8463, 0.8474]"
SGD,0.01,0.3,0.0001,None,64,10,0.4695070916846363,0.3657267761230469,0.8685,0.8685,9,"[1.089611459960307, 0.7185007417316376, 0.6289395579397042, 0.5847388445886214, 0.5505293783888634, 0.5284635765211922, 0.5079621482155979, 0.4937344933750787, 0.4823255432980147, 0.4695070916846363]","[0.5803962097167968, 0.5049968017578125, 0.4574072937011719, 0.43140514221191406, 0.4132370086669922, 0.40588017578125, 0.3922604522705078, 0.37817101135253905, 0.37057104797363283, 0.3657267761230469]","[0.7858, 0.8155, 0.8345, 0.8411, 0.8485, 0.8499, 0.8548, 0.8565, 0.8647, 0.8685]"
